SIC5L1;SIC5L2;SIC5L3;SIC5L4;SIC5L5;SIC7L1;SIC7L2;SIC7L3;SIC7L4;SIC7L5 ;Level 5 text description
9;99;999;9999;99991;;00;000;0000;00000;Registered Directors of companies/ Members of Close Corporations/ Trusts, etc
9;99;999;9999;99992;;00;000;0000;00000;Individuals registered at SARS as individual with business but not own a business
9;99;999;9999;99993;;00;000;0000;00000;Foreign businesses registered at SARS for VAT for the purpose of claiming custom and excise duty for exporting products into South Africa
9;99;999;9999;99999;;00;000;0000;00000;DEPOT, ALL KINDS OF DEPOTS, INCLUDING BANKS
1;11;111;1111;11110;A;01;011;0111;01110;Growing of cereals (except rice), leguminous crops and oil seeds
1;11;111;1111;11110;A;01;011;0111;01110;Growing of cereals: barley
1;11;111;1111;11110;A;01;011;0111;01110;Growing of cereals: grain maize
1;11;111;1111;11110;A;01;011;0111;01110;Growing of cereals: millets
1;11;111;1111;11110;A;01;011;0111;01110;Growing of cereals: oats
1;11;111;1111;11110;A;01;011;0111;01110;Growing of cereals: rye
1;11;111;1111;11110;A;01;011;0111;01110;Growing of cereals: sorghum
1;11;111;1111;11110;A;01;011;0111;01110;Growing of cereals: wheat
1;11;111;1111;11110;A;01;011;0111;01110;Growing of leguminous crops: beans
1;11;111;1111;11110;A;01;011;0111;01110;Growing of leguminous crops: broad beans
1;11;111;1111;11110;A;01;011;0111;01110;Growing of leguminous crops: chick peas
1;11;111;1111;11110;A;01;011;0111;01110;Growing of leguminous crops: cow peas
1;11;111;1111;11110;A;01;011;0111;01110;Growing of leguminous crops: lentils
1;11;111;1111;11110;A;01;011;0111;01110;Growing of leguminous crops: lupins
1;11;111;1111;11110;A;01;011;0111;01110;Growing of leguminous crops: peas
1;11;111;1111;11110;A;01;011;0111;01110;Growing of leguminous crops: pigeon peas
1;11;111;1111;11110;A;01;011;0111;01110;Growing of oil seeds: castor bean 
1;11;111;1111;11110;A;01;011;0111;01110;Growing of oil seeds: groundnuts
1;11;111;1111;11110;A;01;011;0111;01110;Growing of oil seeds: linseed
1;11;111;1111;11110;A;01;011;0111;01110;Growing of oil seeds: mustard seed
1;11;111;1111;11110;A;01;011;0111;01110;Growing of oil seeds: niger seed
1;11;111;1111;11110;A;01;011;0111;01110;Growing of oil seeds: rapeseed
