SIC5L4;SIC7L4;Level 5 text description
9999;0000;Registered Directors of companies/ Members of Close Corporations/ Trusts, etc
9999;0000;Individuals registered at SARS as individual with business but not own a business
9999;0000;Foreign businesses registered at SARS for VAT for the purpose of claiming custom and excise duty for exporting products into South Africa
9999;0000;DEPOT, ALL KINDS OF DEPOTS, INCLUDING BANKS
1111;0111;Growing of cereals (except rice), leguminous crops and oil seeds
1111;0111;Growing of cereals: barley
1111;0111;Growing of cereals: grain maize
1111;0111;Growing of cereals: millets
1111;0111;Growing of cereals: oats
1111;0111;Growing of cereals: rye
1111;0111;Growing of cereals: sorghum
1111;0111;Growing of cereals: wheat
1111;0111;Growing of leguminous crops: beans
1111;0111;Growing of leguminous crops: broad beans
1111;0111;Growing of leguminous crops: chick peas
1111;0111;Growing of leguminous crops: cow peas
1111;0111;Growing of leguminous crops: lentils
1111;0111;Growing of leguminous crops: lupins
1111;0111;Growing of leguminous crops: peas
1111;0111;Growing of leguminous crops: pigeon peas
1111;0111;Growing of oil seeds: castor bean 
1111;0111;Growing of oil seeds: groundnuts
1111;0111;Growing of oil seeds: linseed
1111;0111;Growing of oil seeds: mustard seed
1111;0111;Growing of oil seeds: niger seed
1111;0111;Growing of oil seeds: rapeseed
1111;0111;Growing of oil seeds: safflower seed
1111;0111;Growing of oil seeds: sesame seed
1111;0111;Growing of oil seeds: soya beans
1111;0111;Growing of oil seeds: sunflower seed
1111;0111;Growing of other cereals n.e.c
1111;0111;Growing of other leguminous crops
1111;0111;Growing of other oil seeds
1111;0111;Arrowroot farming
1111;0111;Barley growing
1111;0111;Beans, dried, production
1111;0111;Broom millet growing
1111;0111;Cereal grain growing
1111;0111;Coarse grain growing
1111;0111;Corn growing
1111;0111;Dried leguminous vegetables production
1111;0111;Dry field pea or field bean growing
1111;0111;Field pea growing
1111;0111;Garden pea growing
1111;0111;Grain crop growing
1111;0111;Grain sorghum growing
1111;0111;Growing of cereal grains
1111;0111;Haricot beans growing
1111;0111;Lentil growing
1111;0111;Lupin growing
1111;0111;Maize (except sweetcorn) growing
1111;0111;Oat growing
1111;0111;Oilseed rape growing
1111;0111;Oilseeds growing
1111;0111;Oleaginous fruit and oleaginous nuts growing
1111;0111;Pea growing
1111;0111;Peanuts growing
1111;0111;Peas growing (production)
1111;0111;Pulse growing
1111;0111;Rape and rape seed growing
1111;0111;Safflower growing
1111;0111;Sesame growing
1111;0111;Sorghum growing
1111;0111;Soya beans growing
1111;0111;Soybean growing
